epoch,lr,step,test_acc,test_acc_top5,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_loss
36,,1516,,,,0.6966463327407837,,0.917682945728302,,2.0253963470458984,,,,
37,,1529,0.4655456244945526,0.6821944117546082,3.2095932960510254,,,,,,,0.800000011920929,0.9750000238418579,1.5172622203826904
37,0.0804726779460907,1549,,,,,0.7916666865348816,,0.9583333134651184,,1.751253366470337,,,
37,,1557,,,,0.7129064798355103,,0.9197154641151428,,1.9406216144561768,,,,
38,,1559,0.46866941452026367,0.6856856942176819,3.1876585483551025,,,,,,,0.800000011920929,0.9750000238418579,1.4821430444717407
38,,1589,0.47124210000038147,0.6884423494338989,3.165302276611328,,,,,,,0.8050000071525574,0.9750000238418579,1.4433549642562866
38,,1598,,,,0.7154471278190613,,0.9293699264526367,,1.8976948261260986,,,,
39,0.07871454954147339,1599,,,,,0.5,,0.9166666865348816,,2.5216753482818604,,,
39,,1619,0.4751928746700287,0.690601646900177,3.1433494091033936,,,,,,,0.8100000023841858,0.9800000190734863,1.4068292379379272
39,,1639,,,,0.7027438879013062,,0.9278455376625061,,1.8643138408660889,,,,
40,0.07690177112817764,1649,,,,,0.625,,0.875,,2.2002358436584473,,,
40,,1649,0.47776544094085693,0.6921634078025818,3.1225674152374268,,,,,,,0.8199999928474426,0.9900000095367432,1.3687855005264282
40,,1679,0.48020029067993164,0.6952873468399048,3.1005430221557617,,,,,,,0.824999988079071,0.9850000143051147,1.331041693687439
40,,1680,,,,0.7052845358848572,,0.9308943152427673,,1.8349283933639526,,,,
41,0.07503777742385864,1699,,,,,0.7916666865348816,,0.9166666865348816,,1.7415330410003662,,,
41,,1709,0.483140230178833,0.6975840330123901,3.0782299041748047,,,,,,,0.824999988079071,0.9900000095367432,1.2929316759109497
41,,1721,,,,0.7388211488723755,,0.9344512224197388,,1.7338987588882446,,,,
42,,1739,0.4850696623325348,0.7003864049911499,3.056562662124634,,,,,,,0.8299999833106995,0.9850000143051147,1.256450891494751
42,0.07312612235546112,1749,,,,,0.7083333134651184,,0.9166666865348816,,1.83881413936615,,,
42,,1762,,,,0.7535569071769714,,0.9441056847572327,,1.6880584955215454,,,,
